time,T,P0,P,U,RAIN,Td
2023/2/9 9:00,17.9,757.5,763.2,89,0,16.0
2023/2/9 10:00,17.9,757.5,763.2,89,0,16.0
2023/2/9 11:00,22.4,758.1,763.8,72,0,17.1
2023/2/9 12:00,22.4,758.1,763.8,72,0,17.1
2023/2/9 13:00,22.4,758.1,763.8,72,0,17.1
2023/2/9 14:00,24.2,755.8,761.4,65,0,17.2
2023/2/9 15:00,24.2,755.8,761.4,65,0,17.2
2023/2/9 16:00,24.2,755.8,761.4,65,0,17.2
2023/2/9 17:00,25.5,755.0,760.6,64,0,18.1
2023/2/9 18:00,25.5,755.0,760.6,64,0,18.1
2023/2/9 19:00,25.5,755.0,760.6,64,0,18.1
2023/2/9 20:00,20.5,756.0,761.7,84,0,17.7
2023/2/9 21:00,20.5,756.0,761.7,84,0,17.7
2023/2/9 22:00,20.5,756.0,761.7,84,0,17.7
2023/2/9 23:00,19.8,756.6,762.2,88,0,17.7
2023/2/10 0:00,19.8,756.6,762.2,88,0,17.7
2023/2/10 1:00,19.8,756.6,762.2,88,0,17.7
2023/2/10 2:00,19.0,755.9,761.5,91,0,17.5
2023/2/10 3:00,19.0,755.9,761.5,91,0,17.5
2023/2/10 4:00,19.0,755.9,761.5,91,0,17.5
2023/2/10 5:00,19.2,755.4,761.0,89,0,17.3
2023/2/10 6:00,19.2,755.4,761.0,89,0,17.3
2023/2/10 7:00,19.2,755.4,761.0,89,0,17.3
2023/2/10 8:00,19.6,756.6,762.3,92,2,18.2
2023/2/10 9:00,19.6,756.6,762.3,92,2,18.2
2023/2/10 10:00,19.6,756.6,762.3,92,2,18.2
2023/2/10 11:00,21.7,757.7,763.4,88,2,19.6
2023/2/10 12:00,21.7,757.7,763.4,88,2,19.6
2023/2/10 13:00,21.7,757.7,763.4,88,2,19.6
2023/2/10 14:00,24.2,754.9,760.6,77,0,19.9
2023/2/10 15:00,24.2,754.9,760.6,77,0,19.9
2023/2/10 16:00,24.2,754.9,760.6,77,0,19.9
2023/2/10 17:00,24.6,754.3,760.0,73,0,19.4
2023/2/10 18:00,24.6,754.3,760.0,73,0,19.4
2023/2/10 19:00,24.6,754.3,760.0,73,0,19.4
2023/2/10 20:00,21.7,754.8,760.4,86,0,19.2
2023/2/10 21:00,21.7,754.8,760.4,86,0,19.2
2023/2/10 22:00,21.7,754.8,760.4,86,0,19.2
2023/2/10 23:00,21.1,755.2,760.9,90,0,19.3
2023/2/11 0:00,21.1,755.2,760.9,90,0,19.3
2023/2/11 1:00,21.1,755.2,760.9,90,0,19.3
2023/2/11 2:00,19.4,755.5,761.2,93,0,18.2
2023/2/11 3:00,19.4,755.5,761.2,93,0,18.2
2023/2/11 4:00,19.4,755.5,761.2,93,0,18.2
2023/2/11 5:00,18.7,755.2,760.9,91,0,17.2
2023/2/11 6:00,18.7,755.2,760.9,91,0,17.2
2023/2/11 7:00,18.7,755.2,760.9,91,0,17.2
2023/2/11 8:00,18.7,756.6,762.3,90,0,17.0
2023/2/11 9:00,18.7,756.6,762.3,90,0,17.0
2023/2/11 10:00,18.7,756.6,762.3,90,0,17.0
2023/2/11 11:00,22.1,756.7,762.3,80,0,18.4
2023/2/11 12:00,22.1,756.7,762.3,80,0,18.4
2023/2/11 13:00,22.1,756.7,762.3,80,0,18.4
2023/2/11 14:00,23.4,754.0,759.6,72,0,18.0
2023/2/11 15:00,23.4,754.0,759.6,72,0,18.0
2023/2/11 16:00,23.4,754.0,759.6,72,0,18.0
2023/2/11 17:00,21.8,753.5,759.1,78,0,17.7
2023/2/11 18:00,21.8,753.5,759.1,78,0,17.7
2023/2/11 19:00,21.8,753.5,759.1,78,0,17.7
2023/2/11 20:00,19.6,754.4,760.1,88,0,17.5
2023/2/11 21:00,19.6,754.4,760.1,88,0,17.5
2023/2/11 22:00,19.6,754.4,760.1,88,0,17.5
2023/2/11 23:00,19.8,755.2,760.8,88,0,17.7
2023/2/12 0:00,19.8,755.2,760.8,88,0,17.7
2023/2/12 1:00,19.8,755.2,760.8,88,0,17.7
2023/2/12 2:00,19.6,754.6,760.3,89,0,17.7
2023/2/12 3:00,19.6,754.6,760.3,89,0,17.7
2023/2/12 4:00,19.6,754.6,760.3,89,0,17.7
2023/2/12 5:00,19.6,754.7,760.3,90,0,17.9
2023/2/12 6:00,19.6,754.7,760.3,90,0,17.9
2023/2/12 7:00,19.6,754.7,760.3,90,0,17.9
2023/2/12 8:00,20.0,755.8,761.5,89,0,18.1
2023/2/12 9:00,20.0,755.8,761.5,89,0,18.1
2023/2/12 10:00,20.0,755.8,761.5,89,0,18.1
2023/2/12 11:00,22.7,756.2,761.8,79,0,18.8
2023/2/12 12:00,22.7,756.2,761.8,79,0,18.8
2023/2/12 13:00,22.7,756.2,761.8,79,0,18.8
2023/2/12 14:00,25.6,754.0,759.6,71,0,19.9
2023/2/12 15:00,25.6,754.0,759.6,71,0,19.9
2023/2/12 16:00,25.6,754.0,759.6,71,0,19.9
2023/2/12 17:00,24.4,753.2,758.8,75,0,19.6
2023/2/12 18:00,24.4,753.2,758.8,75,0,19.6
2023/2/12 19:00,24.4,753.2,758.8,75,0,19.6
2023/2/12 20:00,22.6,754.1,759.7,83,0,19.5
2023/2/12 21:00,22.6,754.1,759.7,83,0,19.5
2023/2/12 22:00,22.6,754.1,759.7,83,0,19.5
2023/2/12 23:00,21.6,754.6,760.2,89,0,19.7
2023/2/13 0:00,21.6,754.6,760.2,89,0,19.7
